X,Y,Z
0.007794,-0.00223,-0.002573
-0.000403,0.001235,0.016336
-0.001055,0.0035,0.022238
0.002939,-0.000717,0.000298
0.007155,-0.000515,-0.009939
0.014674,0.003659,-0.027395
0.013235,-0.004081,-0.03595
-0.006958,0.001228,0.034037
-0.010604,0.004049,0.040105
0.017745,-0.000312,-0.011032
0.019776,-0.001312,-0.040595
0.004378,-0.002022,-0.00353
-0.011261,-0.002406,0.026229
-0.011163,-0.000261,0.025515
0.002886,0.000575,0.005037
0.003774,0.003576,-0.004564
0.000662,0.001585,0.004617
0.00035,0.001434,0.00812
-0.000471,-0.00022,0.002821
0.00073,0.000323,0.000531
0.006712,-0.002158,-0.000898
0.000818,-0.002336,-0.004465
0.004154,-0.002194,0.000462
0.00323,0.000344,0.005894
0.004109,0.00039,-0.001199
0.001685,-0.000956,-0.001827
0.006915,0.004115,0.003785
-0.001009,-0.000684,0.002534
-0.000748,0.000791,0.006912
-0.000357,0.000478,0.006619
0.003137,0.002633,0.003823
0.004828,0.000369,-0.000634
0.004269,0.002231,-0.001056
0.003432,-0.000817,0.004461
0.002305,0.002072,0.006753
0.001696,-0.002757,-0.000321
0.00331,0.001117,-0.000868
0.00225,-0.000058,0.001564
0.001034,0.002505,0.004158
0.002434,0.00094,0.003897
0.00026,-0.000041,0.000394
0.002107,-0.000239,0.000256
0.003102,-0.000655,0.00143
0.002584,-0.002686,-0.000384
0.00095,-0.002422,0.002106
0.003347,-0.001773,0.000881
0.001172,0.001498,0.00661
-0.009778,-0.002279,0.008602
-0.011235,0.002677,0.022806
-0.02478,-0.000611,0.030826
-0.033504,0.004881,0.048028
-0.034276,-0.001626,0.053532
-0.039363,0.00298,0.054738
-0.031754,-0.002958,0.044875
-0.009266,0.000275,0.023023
0.010022,-0.000097,-0.01145
0.018253,0.001112,-0.021631
0.025571,-0.001874,-0.018537
0.007228,-0.000355,-0.010008
0.009758,-0.002605,-0.000374
0.002739,0.000456,-0.00082
0.003051,-0.002567,0.00314
0.013569,0.000859,-0.005694
0.017731,-0.003499,-0.021272
0.004564,0.00003,-0.007643
-0.059171,0.010112,0.084903
-0.021335,0.001419,0.025502
-0.023448,-0.001603,0.062549
0.008731,-0.003699,-0.016264
-0.001483,0.000975,-0.000457
0.020782,0.001202,-0.012719
0.051566,-0.005848,-0.05103
0.040234,-0.001149,-0.063674
0.045807,-0.003233,-0.04486
0.08274,-0.00466,-0.070876
0.067522,-0.002909,-0.106011
0.016288,-0.000172,-0.030382
-0.011661,0.0008,0.044447
-0.010601,0.00244,0.029127
0.01326,-0.002668,-0.02001
0.028428,-0.001805,-0.036745
0.036749,-0.002668,-0.040599
0.010017,0.002436,-0.016152
-0.017651,0.001136,0.027512
-0.026258,0.005556,0.051945
-0.025323,0.000695,0.039547
-0.01191,0.001492,0.019832
-0.009683,-0.0007,0.01056
-0.006879,-0.002293,0.010877
-0.016858,0.000384,0.021594
-0.022384,0.003235,0.032851
-0.038059,0.003445,0.049632
-0.041341,0.003773,0.062731
-0.036004,0.002757,0.056423
-0.025496,0.000017,0.034328
-0.019866,0.001861,0.025386
-0.02829,0.000124,0.032706
-0.041966,0.003564,0.057785
-0.064166,0.003927,0.083254
-0.048201,0.001345,0.080203
-0.046159,-0.002162,0.054991
-0.089396,0.001893,0.092369
-0.096981,0.003331,0.150985
-0.083844,0.000642,0.130502
-0.082755,-0.000122,0.102763
-0.059519,0.000743,0.098978
-0.04351,0.005636,0.080906
-0.055516,0.00023,0.084548
-0.056549,-0.001127,0.10825
-0.067714,0.005154,0.131604
-0.050313,0.002169,0.13051
-0.050844,0.004395,0.114383
-0.023545,0.005077,0.187908
-0.006581,0.003353,0.153606
0.027245,0.000613,0.1211
0.047863,0.00398,0.102495
0.052516,0.003375,0.108657
0.1127,-0.002089,0.053061
0.119652,0.003661,0.000595
0.154874,-0.013296,-0.049608
0.136679,-0.001336,-0.050258
0.111643,-0.007415,-0.032461
0.116138,0.001547,-0.013185
0.132921,-0.009556,-0.065534
0.094813,-0.003629,-0.091555
