timestamp,attitude_roll,attitude_pitch,attitude_yaw,rotation_rate_x,rotation_rate_y,rotation_rate_z,gravity_x,gravity_y,gravity_z,user_acc_x,user_acc_y,user_acc_z,magnetic_field_x,magnetic_field_y,magnetic_field_z,latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp
1466441571.12,-0.289349,-0.002695,-1.758675,0.007230,-0.258367,0.002822,-0.285328,0.002695,-0.958426,-0.005520,-0.000956,0.005637,34.781414,127.415581,-18.330471,,,,,,
1466441571.13,-0.291858,-0.002674,-1.758627,0.007237,-0.250937,0.003840,-0.287731,0.002674,-0.957708,0.001751,0.002437,0.001165,34.781414,127.415581,-18.330471,,,,,,
1466441571.14,-0.294190,-0.002602,-1.758559,0.006146,-0.268992,0.006081,-0.289963,0.002602,-0.957034,0.016801,-0.001335,-0.010068,34.781414,127.415581,-18.330471,,,,,,
1466441571.15,-0.296644,-0.002553,-1.758480,0.008205,-0.325265,0.006436,-0.292311,0.002553,-0.956320,0.035674,0.000544,-0.020044,34.692322,127.410957,-18.530273,,,,,,
1466441571.16,-0.299731,-0.002499,-1.758357,0.008074,-0.424016,0.010248,-0.295262,0.002499,-0.955413,0.049565,-0.000347,-0.035935,34.692322,127.410957,-18.530273,,,,,,
1466441571.17,-0.303919,-0.002465,-1.758203,0.014295,-0.552500,0.014254,-0.299261,0.002465,-0.954168,0.063894,0.003731,-0.041163,34.692322,127.410957,-18.530273,,,,,,
1466441571.18,-0.309916,-0.002370,-1.758010,0.017292,-0.709645,0.015242,-0.304978,0.002370,-0.952356,0.071641,0.001948,-0.049612,34.509834,127.392975,-18.989050,,,,,,
,,,,,,,,,,,,,,,,29.719946,-95.399048,9.640932,-1.000000,-1.000000,1466441569.00
1466441571.19,-0.318285,-0.002221,-1.757779,0.022374,-0.900774,0.017510,-0.312937,0.002221,-0.949771,0.074274,0.000511,-0.052228,34.509834,127.392975,-18.989050,,,,,,
1466441571.20,-0.328000,-0.002048,-1.757526,0.024380,-0.999522,0.018132,-0.322150,0.002048,-0.946686,0.064871,0.000210,-0.031890,34.509834,127.392975,-18.989050,,,,,,
1466441571.21,-0.339269,-0.001850,-1.757240,0.028409,-1.178975,0.021390,-0.332797,0.001850,-0.942997,0.042255,-0.002384,-0.038632,34.275009,127.374695,-19.529278,,,,,,
1466441571.22,-0.352048,-0.001639,-1.756913,0.031455,-1.295777,0.023190,-0.344821,0.001639,-0.938667,0.022738,0.000436,-0.010887,34.275009,127.374695,-19.529278,,,,,,
1466441571.23,-0.365114,-0.001428,-1.756580,0.030368,-1.311707,0.024353,-0.357056,0.001428,-0.934082,0.019959,0.000006,-0.001068,34.275009,127.374695,-19.529278,,,,,,
1466441571.24,-0.378510,-0.001208,-1.756236,0.033518,-1.348868,0.023525,-0.369536,0.001208,-0.929216,0.004714,0.004255,0.004411,33.429802,127.321983,-21.261280,,,,,,
1466441571.25,-0.391941,-0.001004,-1.755894,0.031411,-1.330817,0.023410,-0.381983,0.001004,-0.924169,-0.011419,0.002490,0.018941,33.429802,127.321983,-21.261280,,,,,,
1466441571.26,-0.404620,-0.000799,-1.755569,0.032591,-1.240561,0.021781,-0.393669,0.000799,-0.919252,-0.037468,0.003520,0.042100,33.429802,127.321983,-21.261280,,,,,,
1466441571.27,-0.415844,-0.000622,-1.755275,0.026410,-1.077038,0.019684,-0.403962,0.000622,-0.914776,-0.051849,-0.000103,0.051037,32.907543,127.291946,-22.233618,,,,,,
1466441571.28,-0.425432,-0.000465,-1.755015,0.023409,-0.926254,0.016607,-0.412714,0.000465,-0.910861,-0.025274,-0.001564,0.037554,32.907543,127.291946,-22.233618,,,,,,
1466441571.29,-0.434503,-0.000340,-1.754776,0.022366,-0.909265,0.016499,-0.420960,0.000340,-0.907079,-0.000122,0.000148,0.005712,32.907543,127.291946,-22.233618,,,,,,
1466441571.30,-0.443980,-0.000192,-1.754516,0.024431,-0.959174,0.017879,-0.429537,0.000192,-0.903049,0.008516,0.000433,-0.005291,32.025223,127.243050,-23.750206,,,,,,
1466441571.31,-0.453754,-0.000053,-1.754255,0.023338,-0.981471,0.018017,-0.438343,0.000053,-0.898808,0.017002,0.001290,-0.003429,32.025223,127.243050,-23.750206,,,,,,
,,,,,,,,,,,,,,,,29.719949,-95.399059,9.640932,-1.000000,-1.000000,1466441606.20
1466441571.32,-0.463815,0.000090,-1.753981,0.024358,-1.017573,0.018245,-0.447363,-0.000090,-0.894352,0.023123,0.001814,-0.007824,32.025223,127.243050,-23.750206,,,,,,
,,,,,,,,,,,,,,,,29.719952,-95.399070,9.640932,-1.000000,-1.000000,1466441606.24
1466441571.33,-0.474414,0.000229,-1.753694,0.026415,-1.073852,0.019664,-0.456818,-0.000229,-0.889560,0.010086,0.001098,-0.003094,31.605696,127.220360,-24.424200,,,,,,
1466441571.34,-0.485107,0.000368,-1.753389,0.026428,-1.061113,0.020649,-0.466303,-0.000368,-0.884625,-0.006460,0.000886,0.015179,31.605696,127.220360,-24.424200,,,,,,
1466441571.35,-0.495174,0.000509,-1.753125,0.023339,-0.984650,0.015908,-0.475185,-0.000509,-0.879886,-0.017522,0.002691,0.033161,31.605696,127.220360,-24.424200,,,,,,
1466441571.36,-0.504348,0.000630,-1.752858,0.022378,-0.898650,0.017497,-0.483237,-0.000630,-0.875489,-0.018991,-0.001307,0.025071,30.659674,127.171524,-25.843176,,,,,,
1466441571.37,-0.513120,0.000734,-1.752609,0.023479,-0.873161,0.015209,-0.490898,-0.000734,-0.871217,0.002525,0.003816,0.011476,30.659674,127.171524,-25.843176,,,,,,
1466441571.38,-0.522077,0.000859,-1.752355,0.023435,-0.906080,0.016480,-0.498681,-0.000859,-0.866785,0.013009,0.000218,-0.005346,30.659674,127.171524,-25.843176,,,,,,
1466441571.39,-0.531512,0.000970,-1.752091,0.023373,-0.955985,0.016793,-0.506837,-0.000970,-0.862042,0.026765,0.002618,-0.009006,30.234098,127.149414,-26.446270,,,,,,
1466441571.40,-0.541663,0.001103,-1.751806,0.026458,-1.040933,0.018393,-0.515561,-0.001103,-0.856852,0.051343,0.002201,-0.023473,30.234098,127.149414,-26.446270,,,,,,
1466441571.41,-0.552627,0.001206,-1.751480,0.029438,-1.206581,0.022629,-0.524925,-0.001206,-0.851148,0.069145,0.002915,-0.040179,30.234098,127.149414,-26.446270,,,,,,
1466441571.42,-0.566172,0.001341,-1.751105,0.031323,-1.399833,0.024907,-0.536405,-0.001341,-0.843960,0.066373,0.000456,-0.043461,29.256683,127.101059,-27.746157,,,,,,
1466441571.43,-0.581193,0.001508,-1.750680,0.039677,-1.529380,0.026792,-0.549021,-0.001508,-0.835807,0.053858,0.003583,-0.023461,29.256683,127.101059,-27.746157,,,,,,
1466441571.44,-0.596995,0.001661,-1.750226,0.038529,-1.592032,0.029313,-0.562159,-0.001661,-0.827027,0.033854,0.000532,-0.007491,29.256683,127.101059,-27.746157,,,,,,
1466441571.45,-0.613069,0.001813,-1.749750,0.039569,-1.610086,0.030492,-0.575379,-0.001813,-0.817885,0.030122,0.001035,0.003721,28.516184,127.066940,-28.658356,,,,,,
1466441571.46,-0.629519,0.001967,-1.749249,0.041630,-1.663180,0.031891,-0.588755,-0.001967,-0.808309,0.052378,0.002867,-0.009074,28.516184,127.066940,-28.658356,,,,,,
1466441571.47,-0.647233,0.002116,-1.748726,0.043574,-1.810772,0.032819,-0.602980,-0.002116,-0.797753,0.072066,0.001688,-0.029075,28.516184,127.066940,-28.658356,,,,,,
1466441571.48,-0.666610,0.002255,-1.748161,0.046548,-1.981732,0.037087,-0.618324,-0.002255,-0.785920,0.095420,0.002545,-0.034896,28.516184,127.066940,-28.658356,,,,,,
1466441571.49,-0.688192,0.002405,-1.747534,0.054743,-2.235512,0.040816,-0.635140,-0.002405,-0.772393,0.127632,0.003427,-0.057761,26.714340,126.984322,-30.688873,,,,,,
1466441571.50,-0.712980,0.002576,-1.746801,0.063902,-2.566812,0.047161,-0.654089,-0.002576,-0.756413,0.156622,0.006528,-0.073878,26.714340,126.984322,-30.688873,,,,,,
1466441571.51,-0.741375,0.002751,-1.745955,0.073025,-2.926779,0.053685,-0.675300,-0.002751,-0.737538,0.154105,0.004628,-0.073665,25.528980,126.934349,-31.881428,,,,,,
