timestamp,attitude_roll,attitude_pitch,attitude_yaw,rotation_rate_x,rotation_rate_y,rotation_rate_z,gravity_x,gravity_y,gravity_z,user_acc_x,user_acc_y,user_acc_z,magnetic_field_x,magnetic_field_y,magnetic_field_z,latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp
1466451589.68,-0.613185,0.000965,-0.781580,0.004083,-0.089652,0.001691,-0.575475,-0.000965,-0.817819,-0.006648,0.001270,0.006662,-23.790989,370.931763,-70.812225,,,,,,
1466451589.69,-0.614048,0.000950,-0.781555,0.004144,-0.042931,0.000334,-0.576181,-0.000950,-0.817322,-0.012412,0.001988,0.012711,-23.790989,370.931763,-70.812225,,,,,,
1466451589.70,-0.614451,0.000980,-0.781536,0.003117,-0.014261,-0.000911,-0.576509,-0.000980,-0.817090,-0.007063,0.000171,0.010022,-23.914608,370.931244,-70.773254,,,,,,
1466451589.71,-0.614576,0.000963,-0.781528,0.002055,-0.010016,0.000126,-0.576612,-0.000963,-0.817018,-0.000689,0.002092,0.002382,-23.914608,370.931244,-70.773254,,,,,,
1466451589.72,-0.614595,0.000988,-0.781506,0.003066,-0.051428,0.001451,-0.576627,-0.000988,-0.817007,0.021497,-0.000492,-0.004755,-23.914608,370.931244,-70.773254,,,,,,
,,,,,,,,,,,,,,,,29.719981,-95.399038,10.703684,-1.000000,-1.000000,1466451896.41
1466451589.73,-0.615111,0.000971,-0.781451,0.007079,-0.176687,0.003322,-0.577049,-0.000971,-0.816709,0.049415,0.003015,-0.019763,-23.946438,370.929779,-70.770134,,,,,,
1466451589.74,-0.617053,0.000975,-0.781356,0.010037,-0.361441,0.006613,-0.578634,-0.000975,-0.815587,0.065801,0.001890,-0.030894,-23.946438,370.929779,-70.770134,,,,,,
1466451589.75,-0.621974,0.001051,-0.781210,0.016211,-0.532394,0.007691,-0.582641,-0.001051,-0.812729,0.068664,0.003065,-0.033844,-23.946438,370.929779,-70.770134,,,,,,
1466451589.76,-0.628234,0.001128,-0.781033,0.017119,-0.652387,0.011638,-0.587717,-0.001128,-0.809066,0.059000,0.003264,-0.026078,-24.392769,370.916687,-70.686188,,,,,,
1466451589.77,-0.635392,0.001223,-0.780821,0.020209,-0.735209,0.012160,-0.593492,-0.001223,-0.804839,0.048158,0.003558,-0.016313,-24.392769,370.916687,-70.686188,,,,,,
1466451589.78,-0.643032,0.001301,-0.780582,0.022256,-0.799982,0.013633,-0.599624,-0.001301,-0.800281,0.036667,0.002324,-0.013288,-24.392769,370.916687,-70.686188,,,,,,
1466451589.79,-0.651358,0.001395,-0.780338,0.022203,-0.840333,0.014951,-0.606266,-0.001395,-0.795260,0.026280,0.000953,-0.006085,-24.392769,370.916687,-70.686188,,,,,,
1466451589.80,-0.659854,0.001476,-0.780080,0.021123,-0.850954,0.016081,-0.613001,-0.001476,-0.790081,0.019205,-0.002994,-0.004185,-26.279068,370.873199,-70.236801,,,,,,
